タスク名,WBSコード,ステータス,メモ,優先度,担当者,終了日,親タスク,進捗率,開始日
DCS,1,進行中,会社ウェブサイトの全面リニューアルプロジェクト,高,,2025/09/30,,0%,2025/07/14
現状共有,1.01,完了,現状のメニュー生成のやり方を共有,高,,2025/07/18,DCS,30%,2025/07/14
G空間連携の実現性確認,1.02,完了,大伴さんから連携された内容を検討し、実現性を確認する。また、DCS側の実装について検討する,高,,2025/07/18,DCS,0%,2025/07/14
データ変換サーバ設計,1.03,進行中,データ変換サーバのインフラ、処理設計,中,,2025/08/01,DCS,0%,2025/07/21
ログイン機能設計,1.04,未着手,ログインと権限の実現方法検討と設計,中,,2025/08/01,DCS,0%,2025/07/21
データ登録設計,1.05,未着手,DCSで独自データを追加する方法検討と設計,高,,2025/08/15,DCS,0%,2025/08/04
リリース準備,1.09,未着手,本番環境の準備とデプロイメント計画,中,,2025/09/26,DCS,0%,2025/09/22
本番リリース,1.10,未着手,公開と監視,高,,2025/09/30,DCS,0%,2025/09/26
開発許可申請,3,未着手,,,,,,,
" G空間",2,未着手,,,,,,,
LP SNS発信方法検討,2.01,完了,,,,2025/07/25,G空間,,2025/07/14
LP SNS発信,2.02,進行中,,,,2025/08/02,G空間,,2025/07/28
開発環境構築,3.02,完了,,,,2025/07/18,開発許可申請,,2025/07/14
昨年度アプリ動作確認,3.03,完了,,,,2025/07/23,開発許可申請,,2025/07/17
ローカル動作環境構築,3.01,完了,2024年度版の開発許可申請アプリが動作する環境を作る,,,2025/07/25,開発許可申請,,2025/07/14
モック画面設計,3.04,進行中,項目の検討、ワークフローの検討など,,,2025/08/01,開発許可申請,,2025/07/21
モック画面実装,3.05,進行中,,,,2025/08/08,開発許可申請,,2025/07/28
認証機能設計,3.06,未着手,MCCの実現方法を確認し、開発許可申請アプリで使えるか確認,,,2025/08/15,開発許可申請,,2025/08/04
ファイル授受インフラ設計,3.07,未着手,MCCの実現方法を確認し、開発許可申請アプリで使えるか確認,,,2025/08/15,開発許可申請,,2025/08/04
データ変換サーバ実装,1.06,未着手,,,,,DCS,,
ログイン機能組み込み,1.07,未着手,,,,,DCS,,
権限組み込み,1.08,未着手,,,,,DCS,,
擬似人流データAPI配信方法検討,2.50,進行中,,,,2025/07/25,G空間,,2025/07/14
擬似人流データAPI配信実装,2.51,未着手,,,,2025/07/25,G空間,,2025/07/14
課金システム設計,2.52,未着手,,,,2025/07/25,G空間,,2025/07/14
課金システム実装,2.53,未着手,,,,2025/07/25,G空間,,2025/07/14
ダッシュボード設計,2.54,未着手,,,,2025/07/25,G空間,,2025/07/14
ダッシュボード実装,2.55,未着手,,,,2025/07/25,G空間,,2025/07/14
擬似人流LP設計,2.56,未着手,,,,2025/07/25,G空間,,2025/07/14
擬似人流LP実装,2.57,未着手,,,,2025/07/25,G空間,,2025/07/14
擬似人流LP公開,2.58,未着手,,,,2025/07/25,G空間,,2025/07/14
擬似人流LP SNS配信,2.59,未着手,,,,2025/07/25,G空間,,2025/07/14
LPからカートを呼び出せるようにする,,未着手,,,,,G空間,,
汎用的なデータ連携,,未着手,,,,,G空間,,
